query_subpop match_subpop counts,...
ACB	ACB	8,1,2,2,7,4,2,10,8,7,2,11,7,7,8,3,3,7,5,3,8,5,6,6,2,0,10,5,1,6,7,9,3,9,3,1,10,2,1,3,10,8,4,1,2,1,6,3,5,3,1,5,8,6,2,3,1,3,4,8,7,4,6,5,5,1,8,11,1,1,9,10,0,7,4,0,2,0,4,4,7,1,0,3,1,6,3,6,3,3,6,10,7,3,7,0,7,2,3,3,5,8,2,3,1,1,2,7,3,1,8,7,0,6,1,6	
ACB	ASW	7,0,0,0,8,2,0,6,5,2,0,6,0,1,2,0,0,4,8,1,4,1,11,11,0,2,10,2,0,10,1,11,10,7,2,0,7,0,0,0,8,5,1,0,8,2,9,1,10,2,2,11,3,1,0,6,5,13,0,8,7,0,10,2,0,0,4,7,1,0,7,3,1,7,0,3,0,0,2,2,9,0,0,9,1,3,0,9,0,1,9,6,0,2,6,1,10,2,1,4,9,5,0,0,5,0,8,3,2,1,5,6,0,5,2,12	
ACB	BEB	0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
ACB	CDX	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
ACB	CEU	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	
ACB	CHB	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
ACB	CHS	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
ACB	CLM	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0	
ACB	ESN	0,0,0,9,1,2,7,0,3,4,5,0,3,4,1,4,1,6,0,2,2,3,0,0,0,4,0,5,0,0,3,0,0,0,3,8,1,5,8,7,0,3,5,5,0,6,0,1,0,5,0,0,2,4,2,0,0,0,4,1,3,4,0,1,3,6,0,2,4,5,2,2,0,1,4,0,5,0,5,7,1,4,7,0,6,3,7,1,3,7,1,1,5,6,0,0,0,3,6,0,0,3,9,4,0,5,0,5,6,7,1,4,9,5,0,0	
ACB	FIN	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
